taxid,input_term,domain,kingdom,phylum,class,order,family,genus,species
410072,Coprococcus_comes,d__Bacteria,k__Bacteria,p__Firmicutes,c__Clostridia,o__Eubacteriales,f__Lachnospiraceae,g__Coprococcus,s__Coprococcus_comes
1303,Streptococcus_oralis,d__Bacteria,k__Bacteria,p__Firmicutes,c__Bacilli,o__Lactobacillales,f__Streptococcaceae,g__Streptococcus,s__Streptococcus_oralis
29339,Bacillus_thuringiensis_serovar_kurstaki,d__Bacteria,k__Bacteria,p__Firmicutes,c__Bacilli,o__Bacillales,f__Bacillaceae,g__Bacillus,s__Bacillus_thuringiensis
1396,Bacillus_cereus,d__Bacteria,k__Bacteria,p__Firmicutes,c__Bacilli,o__Bacillales,f__Bacillaceae,g__Bacillus,s__Bacillus_cereus
451516,Staphylococcus_aureus_subsp_aureus_USA300_TCH1516,d__Bacteria,k__Bacteria,p__Firmicutes,c__Bacilli,o__Bacillales,f__Staphylococcaceae,g__Staphylococcus,s__Staphylococcus_aureus
426430,Staphylococcus_aureus_subsp_aureus_str_Newman,d__Bacteria,k__Bacteria,p__Firmicutes,c__Bacilli,o__Bacillales,f__Staphylococcaceae,g__Staphylococcus,s__Staphylococcus_aureus
1585,Lactobacillus_delbrueckii_subsp_bulgaricus,d__Bacteria,k__Bacteria,p__Firmicutes,c__Bacilli,o__Lactobacillales,f__Lactobacillaceae,g__Lactobacillus,s__Lactobacillus_delbrueckii
1280,Staphylococcus_aureus,d__Bacteria,k__Bacteria,p__Firmicutes,c__Bacilli,o__Bacillales,f__Staphylococcaceae,g__Staphylococcus,s__Staphylococcus_aureus
1428,Bacillus_thuringiensis,d__Bacteria,k__Bacteria,p__Firmicutes,c__Bacilli,o__Bacillales,f__Bacillaceae,g__Bacillus,s__Bacillus_thuringiensis
208435,Streptococcus_agalactiae_2603V_R,d__Bacteria,k__Bacteria,p__Firmicutes,c__Bacilli,o__Lactobacillales,f__Streptococcaceae,g__Streptococcus,s__Streptococcus_agalactiae
1390,Bacillus_amyloliquefaciens,d__Bacteria,k__Bacteria,p__Firmicutes,c__Bacilli,o__Bacillales,f__Bacillaceae,g__Bacillus,s__Bacillus_amyloliquefaciens
1334,Streptococcus_dysgalactiae,d__Bacteria,k__Bacteria,p__Firmicutes,c__Bacilli,o__Lactobacillales,f__Streptococcaceae,g__Streptococcus,s__Streptococcus_dysgalactiae
1292,Staphylococcus_warneri,d__Bacteria,k__Bacteria,p__Firmicutes,c__Bacilli,o__Bacillales,f__Staphylococcaceae,g__Staphylococcus,s__Staphylococcus_warneri
548473,Staphylococcus_aureus_subsp_aureus_TCH60,d__Bacteria,k__Bacteria,p__Firmicutes,c__Bacilli,o__Bacillales,f__Staphylococcaceae,g__Staphylococcus,s__Staphylococcus_aureus
645463,Clostridioides_difficile_R20291,d__Bacteria,k__Bacteria,p__Firmicutes,c__Clostridia,o__Eubacteriales,f__Peptostreptococcaceae,g__Clostridioides,s__Clostridioides_difficile
1320,Streptococcus_sp_group_G,d__Bacteria,k__Bacteria,p__Firmicutes,c__Bacilli,o__Lactobacillales,f__Streptococcaceae,g__Streptococcus,s__Streptococcus_sp_group_G
160490,Streptococcus_pyogenes_M1_GAS,d__Bacteria,k__Bacteria,p__Firmicutes,c__Bacilli,o__Lactobacillales,f__Streptococcaceae,g__Streptococcus,s__Streptococcus_pyogenes
1349,Streptococcus_uberis,d__Bacteria,k__Bacteria,p__Firmicutes,c__Bacilli,o__Lactobacillales,f__Streptococcaceae,g__Streptococcus,s__Streptococcus_uberis
1613,Limosilactobacillus_fermentum,d__Bacteria,k__Bacteria,p__Firmicutes,c__Bacilli,o__Lactobacillales,f__Lactobacillaceae,g__Limosilactobacillus,s__Limosilactobacillus_fermentum
