"ScientificName","Rank","UID","nTot","IDs"
"Pararnavirae","Level: kingdom","NCBI:txid2732397","188- / 410+","11780,11908,2169971,10408,10407,35269,11676,11864,11701,489469,61673,11661,11660,11901,11674,11926,11909,11927,11665,11671,11795,45409,11764,11812,11696,33747,254355,11743,36374,11942,11824,12750,45617,64382,11706,194959,11691,11698,11678,12639,11709,362651,11790,11662,11688,1401444,1476909,328671,328670,1016853,1016852,53182,11636,11963,11642,221703,2170197,2170200,2170206,2170201,338478,10410,10430,341946"
"Lentivirus","Level: genus","NCBI:txid11646","12- / 99+","2169971,11676,11701,11661,11660,11674,11665,11671,45409,11696,254355,11743,36374,12750,11706,11691,11698,11678,11709,362651,11662,11688"
