taxid,input_term,domain,kingdom,phylum,class,order,family,genus,species
64382,Human_Endogenous_Retrovirus_IDDMK1_2_22,d__Viruses,k__Pararnavirae,p__Artverviricota,c__Revtraviricetes,o__Ortervirales,f__Retroviridae,g__Human_endogenous_retrovirus_K__S+,s__Human_endogenous_retrovirus_K
12750,Visna_maedi_virus_EV1,d__Viruses,k__Pararnavirae,p__Artverviricota,c__Revtraviricetes,o__Ortervirales,f__Retroviridae,g__Lentivirus,s__Visna_maedi_virus
11701,Human_immunodeficiency_virus_type_1_RF_HAT_ISOLATE,d__Viruses,k__Pararnavirae,p__Artverviricota,c__Revtraviricetes,o__Ortervirales,f__Retroviridae,g__Lentivirus,s__Human_immunodeficiency_virus_1
11665,Equine_infectious_anemia_virus,d__Viruses,k__Pararnavirae,p__Artverviricota,c__Revtraviricetes,o__Ortervirales,f__Retroviridae,g__Lentivirus,s__Equine_infectious_anemia_virus
33747,Simian_T_lymphotropic_virus_1,d__Viruses,k__Pararnavirae,p__Artverviricota,c__Revtraviricetes,o__Ortervirales,f__Retroviridae,g__Deltaretrovirus,s__Primate_T_lymphotropic_virus_1
11706,HIV_1_M_B_HXB2R,d__Viruses,k__Pararnavirae,p__Artverviricota,c__Revtraviricetes,o__Ortervirales,f__Retroviridae,g__Lentivirus,s__Human_immunodeficiency_virus_1
11698,Human_immunodeficiency_virus_type_1_NEW_YORK_5_ISOLATE,d__Viruses,k__Pararnavirae,p__Artverviricota,c__Revtraviricetes,o__Ortervirales,f__Retroviridae,g__Lentivirus,s__Human_immunodeficiency_virus_1
328670,Banana_streak_GF_virus,d__Viruses,k__Pararnavirae,p__Artverviricota,c__Revtraviricetes,o__Ortervirales,f__Caulimoviridae,g__Badnavirus,s__Banana_streak_GF_virus
11743,Visna_lentivirus_strain_1514_clone_LV1_1KS1,d__Viruses,k__Pararnavirae,p__Artverviricota,c__Revtraviricetes,o__Ortervirales,f__Retroviridae,g__Lentivirus,s__Visna_maedi_virus
11662,Caprine_arthritis_encephalitis_virus_G63,d__Viruses,k__Pararnavirae,p__Artverviricota,c__Revtraviricetes,o__Ortervirales,f__Retroviridae,g__Lentivirus,s__Caprine_arthritis_encephalitis_virus
1401444,Avian_leukosis_virus_ev_J,d__Viruses,k__Pararnavirae,p__Artverviricota,c__Revtraviricetes,o__Ortervirales,f__Retroviridae,g__Alpharetrovirus,s__Avian_leukosis_virus
254355,Small_ruminant_lentivirus,d__Viruses,k__Pararnavirae,p__Artverviricota,c__Revtraviricetes,o__Ortervirales,f__Retroviridae,g__Lentivirus,s__Caprine_arthritis_encephalitis_virus
11661,Caprine_arthritis_encephalitis_virus_strain_Cork,d__Viruses,k__Pararnavirae,p__Artverviricota,c__Revtraviricetes,o__Ortervirales,f__Retroviridae,g__Lentivirus,s__Caprine_arthritis_encephalitis_virus
221703,Simian_foamy_virus_Pongo_pygmaeus_pygmaeus,d__Viruses,k__Pararnavirae,p__Artverviricota,c__Revtraviricetes,o__Ortervirales,f__Retroviridae,g__Simiispumavirus,s__Bornean_orangutan_simian_foamy_virus
11709,Human_immunodeficiency_virus_2,d__Viruses,k__Pararnavirae,p__Artverviricota,c__Revtraviricetes,o__Ortervirales,f__Retroviridae,g__Lentivirus,s__Human_immunodeficiency_virus_2
11927,Human_T_cell_lymphotrophic_virus_type_1_Caribbean_isolate,d__Viruses,k__Pararnavirae,p__Artverviricota,c__Revtraviricetes,o__Ortervirales,f__Retroviridae,g__Deltaretrovirus,s__Primate_T_lymphotropic_virus_1
45617,Human_endogenous_retrovirus_K,d__Viruses,k__Pararnavirae,p__Artverviricota,c__Revtraviricetes,o__Ortervirales,f__Retroviridae,g__Human_endogenous_retrovirus_K__S+,s__Human_endogenous_retrovirus_K
11642,Simian_foamy_virus,d__Viruses,k__Pararnavirae,p__Artverviricota,c__Revtraviricetes,o__Ortervirales,f__Retroviridae,g__Spumavirus,s__Simian_foamy_virus
