id,taxid,domain,kingdom,phylum,class,order,family,genus,species
s__Human_immunodeficiency_virus_1,11698,Viruses,Pararnavirae,Artverviricota,Revtraviricetes,Ortervirales,Retroviridae,Lentivirus,Human_immunodeficiency_virus_1
s__Banana_streak_GF_virus,328670,Viruses,Pararnavirae,Artverviricota,Revtraviricetes,Ortervirales,Caulimoviridae,Badnavirus,Banana_streak_GF_virus
s__Visna_maedi_virus,11743,Viruses,Pararnavirae,Artverviricota,Revtraviricetes,Ortervirales,Retroviridae,Lentivirus,Visna_maedi_virus
s__Caprine_arthritis_encephalitis_virus,11662,Viruses,Pararnavirae,Artverviricota,Revtraviricetes,Ortervirales,Retroviridae,Lentivirus,Caprine_arthritis_encephalitis_virus
s__Avian_leukosis_virus,1401444,Viruses,Pararnavirae,Artverviricota,Revtraviricetes,Ortervirales,Retroviridae,Alpharetrovirus,Avian_leukosis_virus
s__Caprine_arthritis_encephalitis_virus,254355,Viruses,Pararnavirae,Artverviricota,Revtraviricetes,Ortervirales,Retroviridae,Lentivirus,Caprine_arthritis_encephalitis_virus
s__Caprine_arthritis_encephalitis_virus,11661,Viruses,Pararnavirae,Artverviricota,Revtraviricetes,Ortervirales,Retroviridae,Lentivirus,Caprine_arthritis_encephalitis_virus
s__Bornean_orangutan_simian_foamy_virus,221703,Viruses,Pararnavirae,Artverviricota,Revtraviricetes,Ortervirales,Retroviridae,Simiispumavirus,Bornean_orangutan_simian_foamy_virus
s__Human_immunodeficiency_virus_2,11709,Viruses,Pararnavirae,Artverviricota,Revtraviricetes,Ortervirales,Retroviridae,Lentivirus,Human_immunodeficiency_virus_2
s__Primate_T_lymphotropic_virus_1,11927,Viruses,Pararnavirae,Artverviricota,Revtraviricetes,Ortervirales,Retroviridae,Deltaretrovirus,Primate_T_lymphotropic_virus_1
s__Human_endogenous_retrovirus_K,45617,Viruses,Pararnavirae,Artverviricota,Revtraviricetes,Ortervirales,Retroviridae,Human_endogenous_retrovirus_K__S+,Human_endogenous_retrovirus_K
s__Simian_foamy_virus,11642,Viruses,Pararnavirae,Artverviricota,Revtraviricetes,Ortervirales,Retroviridae,Spumavirus,Simian_foamy_virus
s__Murine_leukemia_virus,11795,Viruses,Pararnavirae,Artverviricota,Revtraviricetes,Ortervirales,Retroviridae,Gammaretrovirus,Murine_leukemia_virus
s__Feline_leukemia_virus,11824,Viruses,Pararnavirae,Artverviricota,Revtraviricetes,Ortervirales,Retroviridae,Gammaretrovirus,Feline_leukemia_virus
s__Mason_Pfizer_monkey_virus,11942,Viruses,Pararnavirae,Artverviricota,Revtraviricetes,Ortervirales,Retroviridae,Betaretrovirus,Mason_Pfizer_monkey_virus
s__Banana_streak_CA_virus,1016852,Viruses,Pararnavirae,Artverviricota,Revtraviricetes,Ortervirales,Caulimoviridae,Badnavirus,Banana_streak_CA_virus
s__Spider_monkey_simian_foamy_virus,2170200,Viruses,Pararnavirae,Artverviricota,Revtraviricetes,Ortervirales,Retroviridae,Simiispumavirus,Spider_monkey_simian_foamy_virus
s__Equine_infectious_anemia_virus,11671,Viruses,Pararnavirae,Artverviricota,Revtraviricetes,Ortervirales,Retroviridae,Lentivirus,Equine_infectious_anemia_virus
s__Caprine_arthritis_encephalitis_virus,11660,Viruses,Pararnavirae,Artverviricota,Revtraviricetes,Ortervirales,Retroviridae,Lentivirus,Caprine_arthritis_encephalitis_virus
s__Baboon_endogenous_virus,11764,Viruses,Pararnavirae,Artverviricota,Revtraviricetes,Ortervirales,Retroviridae,Gammaretrovirus,Baboon_endogenous_virus
s__Visna_maedi_virus,2169971,Viruses,Pararnavirae,Artverviricota,Revtraviricetes,Ortervirales,Retroviridae,Lentivirus,Visna_maedi_virus
s__Hepatitis_B_virus,10410,Viruses,Pararnavirae,Artverviricota,Revtraviricetes,Blubervirales,Hepadnaviridae,Orthohepadnavirus,Hepatitis_B_virus
s__Primate_T_lymphotropic_virus_1,11926,Viruses,Pararnavirae,Artverviricota,Revtraviricetes,Ortervirales,Retroviridae,Deltaretrovirus,Primate_T_lymphotropic_virus_1
s__Banana_streak_MY_virus,1476909,Viruses,Pararnavirae,Artverviricota,Revtraviricetes,Ortervirales,Caulimoviridae,Badnavirus,Banana_streak_MY_virus
s__Woodchuck_hepatitis_virus,35269,Viruses,Pararnavirae,Artverviricota,Revtraviricetes,Blubervirales,Hepadnaviridae,Orthohepadnavirus,Woodchuck_hepatitis_virus
s__Squirrel_monkey_simian_foamy_virus,2170201,Viruses,Pararnavirae,Artverviricota,Revtraviricetes,Ortervirales,Retroviridae,Simiispumavirus,Squirrel_monkey_simian_foamy_virus
s__Human_immunodeficiency_virus_1,11676,Viruses,Pararnavirae,Artverviricota,Revtraviricetes,Ortervirales,Retroviridae,Lentivirus,Human_immunodeficiency_virus_1
s__Feline_immunodeficiency_virus,45409,Viruses,Pararnavirae,Artverviricota,Revtraviricetes,Ortervirales,Retroviridae,Lentivirus,Feline_immunodeficiency_virus
