"ScientificName","Rank","UID","nTot","IDs"
"Apicomplexa","Level: phylum","NCBI:txid5794","357- / 1184+","73239,5833,36329,5855,5865,5811,29176,508771,432359,5861,5802,5823,5866,5868,5874,5872,333668,5842,5807,5846,5835,5851,126793,5848,5834,57270,5837,5841,5843,5839,31273,5824,27990,5821,5825,5850,1133968,5858,5827"
"T. gondii","Level: species","NCBI:txid5811","60- / 82+","5811,508771,432359"
