"ScientificName";"Rank";"UID";"nPos";"nNeg";"nTot";"IDs"
"Viruses";"superkingdom";"10239";6382;10201;16583;"11320,383586,387147,370128,387139,382832,392809,382835,384487,383571,150127,384505,63106,62449,444318,11142,211044,132504,11780,11292,11072,12098,12107,11588,11295,11060,11038,11037,11079,301478,11033,12082,11602,10299,387161,10298,12092,10304,10306,10377,10360,10320,10376,10359,10310,10331,10326,11908,10335,10366,82830,10323,10309,10301,10305,10345,2560602,10243,2169971,11276,10574,10372,10330,10328,9606,10325,10408,10407,35269,11239,11235,11981,11098,11084,11070,11103,12064,79685,421877,31647,11112,356414,31649,11114,31650,40271,356426,12118,12509,138950,138951,42789,11053,874269,342409,71366,11676,229032,64320,2697049,1868221,185894,11269,11864,38251,1321999,12663,627434,627433,906885,711466,454952,1052158,11135,627431,12637,227984,390157,85708,195055,39054,277944,12073,63746,2560319,1241973,489821,11137,31631,443240,1335626,290028,11096,2709072,2708335,694009,10514,573797,1173018,1331831,1968303,1968304,2026007,1914447,10796,59301,31634,35327,694007,1399582,11099,54315,291484,333761,10593,537923,1586324,10497,1368314,1508227,11128,136187,11701,35244,11149,150846,489469,10632,36351,10363,61673,2593991,1965067,11049,11661,11660,10804,11048,333760,31552,12455,11901,11259,11246,11250,393555,367120,130763,427773,271108,11232,11234,11243,10562,11674,12125,422214,166124,1235996,443241,231432,1739614,42005,1306931,215681,627439,443239,10788,11260,11041,11926,11909,358769,1891767,10515,10583,133704,12110,28285,46290,11045,11927,11665,11668,31675,11672,10598,11671,10783,12112,10600,334203,10580,1479610,11131,422216,1699095,627442,1176035,1263720,231422,1895985,10585,12120,28344,11795,82824,79699,1906931,45409,10423,31764,2847173,11251,2898537,12067,10904,33717,11120,28314,11256,11255,208893,11253,11252,410078,230236,2126133,202496,1495253,228407,398808,197589,694008,1933298,11590,408688,11069,413041,408687,408691,408685,408870,408689,31635,408694,408693,11764,82639,12086,11236,11812,11196,408871,11090,407137,11089,407141,407134,407138,407139,407140,407136,407135,190063,489464,489472,489459,482133,NA,10414,489503,489496,489544,489538,10419,489462,1349999,502101,454951,235455,10533,573199,12111,2032731,1980519,392172,147711,650130,654811,641501,1577715,1803956,11087,427826,384495,128952,122929,11624,39002,11980,380213,38170,1980494,83192,1980485,46920,37207,42097,1980459,1980486,1980490,480116,121791,11241,33727,1337063,195700,10665,11553,208726,12099,42782,11082,380301,381513,1144025,385600,380307,381518,41857,486627,10254,2847144,11064,33741,103929,11622,11623,10962,11296,10927,228330,63330,95340,11696,381516,88104,130760,333284,37296,37137,10995,110195,122928,11198,11191,33747,10941,94432,35288,12161,117204,12131,10864,12081,40051,12242,12071,12072,11134,2169986,12080,132487,11151,12116,12246,254355,11743,36374,11942,1891730,94967,246878,12130,36409,31545,46937,11983,150080,12305,103902,103906,10923,11824,2905673,12216,12115,11144,12146,12088,489927,11277,31563,72539,12117,12063,11217,292633,73475,28295,37128,45659,35329,31721,11062,329852,139270,11178,11180,11150,10900,10903,1933300,343462,12260,82823,10879,146500,11034,40050,35330,31715,10479,54290,92652,55951,1980456,1980491,356411,12093,11357,221016,11363,36368,490133,12750,12211,1678143,28282,28284,65743,28375,11278,358805,45617,64382,11104,31645,357355,356410,420174,10422,10798,648238,31767,11116,32604,11706,284218,480024,644788,165512,569161,381512,417758,447133,461772,12077,12075,415316,546984,10249,33725,11577,103905,11288,10620,10573,10615,333763,11319,384498,10524,10586,2772507,337052,2758382,1891729,10760,506391,186540,2169991,12162,380950,10566,10530,439201,2905917,392811,46932,46941,10338,41856,11078,2560580,357208,164326,303316,382781,37107,68887,503764,386270,539227,741353,795438,302388,223997,31514,11105,11113,11115,2907992,31768,31642,31644,356424,356415,11110,385583,648856,10498,10500,871647,194959,408686,11065,11705,11691,11698,400788,382820,10791,1069537,186538,11138,336092,577543,11678,10863,378830,307044,11080,11077,11081,468972,383030,680692,155220,680690,244950,183741,404573,89172,89169,196462,172149,332747,284202,506282,292039,292045,335333,166951,432094,47001,12132,31704,37124,647096,1980481,1239567,12639,11066,10519,202813,59375,421901,11709,497380,137886,11021,183764,468968,754366,11397,362651,155218,432070,472511,427890,418868,357210,370811,414044,562988,562992,464314,421472,411157,641812,402938,352764,162326,385585,384510,380284,352564,359921,400810,31646,449656,371214,352034,85543,489463,746073,2886930,645724,687387,687386,1968861,197780,11100,11036,524364,393616,186541,565995,186539,11790,415166,383231,1440170,11039,333923,11047,336792,11620,82300,108098,1133363,11059,514193,1163697,388536,37325,1225860,38171,148363,32603,329389,103903,11662,689403,573977,638313,604436,504904,476294,1286616,10245,302272,10595,10915,915014,33706,386032,128951,12060,12078,12232,10623,11688,1891762,46771,11627,94966,352515,1006061,266827,400828,12475,161600,284190,100835,292590,614035,510222,11215,1435060,642261,1477937,641809,464622,380342,529058,63421,35331,10587,10588,37115,382825,356416,356418,356420,356391,421879,260806,10244,425551,714978,10521,343463,632134,322053,270478,29271,11976,1401444,284209,129875,384499,79889,1697974,506350,55097,1310532,453057,103920,292349,69156,10618,10596,37120,51033,10611,11063,11685,28875,1476909,328671,328670,1016853,1016852,36421,86062,1053141,53182,64293,401671,10315,10313,31525,334589,171370,11636,370810,680693,28280,170342,518987,33745,1406148,11083,647923,130663,1570291,644289,1342394,279329,556277,42769,11963,2170203,11642,221703,2170197,2170200,2170206,2170201,338478,482134,10410,73482,10409,10430,31708,1972699,269638,1330520,479022,683780,2115988,1763596,707882,280855,59300,2847138,489468,341946,489543,2848421,229992,10369,11171"
"Riboviria";"clade";"2559587";4555;8544;13099;"11320,383586,387147,387139,382832,392809,382835,383571,150127,384505,63106,444318,11142,211044,132504,11780,11292,11072,12098,12107,11588,11295,11060,11038,11037,11079,301478,11033,12082,11602,387161,12092,11908,2560602,2169971,11276,10408,10407,35269,11235,11981,11098,11084,11070,11103,12064,421877,31647,31649,31650,40271,356426,12118,138950,138951,42789,11053,11676,229032,64320,2697049,185894,11269,11864,1321999,12663,11135,12637,227984,390157,195055,39054,277944,12073,63746,2560319,1241973,489821,11137,31631,443240,1335626,290028,11096,2709072,2708335,1173018,1331831,1968303,1968304,2026007,1914447,59301,31634,35327,694007,1399582,11099,54315,1586324,1508227,11128,11701,11149,150846,489469,61673,11049,11661,11660,11048,12455,11901,11259,11246,11250,367120,130763,427773,11232,11234,11243,11674,12125,1235996,443241,443239,11260,11041,11926,11909,358769,12110,46290,11045,11927,11665,11671,12112,627442,1263720,12120,28344,11795,82824,45409,11251,12067,10904,33717,11120,11256,11255,208893,11253,11252,410078,228407,694008,1933298,11590,11069,408870,31635,11764,82639,12086,11812,11196,408871,11089,1349999,502101,454951,12111,2032731,1980519,392172,650130,654811,641501,1577715,1803956,128952,122929,11624,39002,1980494,83192,1980485,46920,37207,42097,1980459,1980486,121791,11241,33727,195700,11553,208726,42782,11082,381513,1144025,41857,2847144,11064,33741,103929,11622,11623,10962,11296,10927,228330,63330,11696,381516,88104,130760,333284,37137,10995,110195,11191,33747,10941,94432,35288,12161,117204,12131,12081,40051,12242,12071,12072,2169986,12080,132487,11151,12116,12246,254355,11743,36374,11942,94967,12130,36409,11983,150080,12305,10923,11824,12216,12115,11144,12146,12088,11277,72539,12117,12063,11217,292633,28295,37128,35329,31721,11062,11150,10900,10903,1933300,12260,82823,10879,11034,35330,31715,54290,55951,1980456,1980491,356411,12750,12211,1678143,65743,28375,358805,45617,64382,11104,31645,356410,420174,31767,11116,11706,284218,644788,165512,381512,417758,447133,461772,12077,12075,11577,103905,11288,186540,2169991,12162,392811,41856,2560580,164326,303316,382781,223997,11105,11113,11115,31768,31644,356415,11110,648856,194959,408686,11065,11691,11698,186538,11138,336092,577543,11678,378830,307044,11080,11077,680692,155220,680690,183741,404573,89172,89169,196462,172149,332747,284202,506282,292039,292045,12132,31704,37124,1980481,1239567,12639,11066,59375,421901,11709,11021,183764,468968,754366,362651,155218,432070,472511,427890,418868,357210,370811,414044,562988,562992,464314,421472,411157,641812,402938,352764,162326,385585,384510,380284,352564,359921,449656,371214,352034,645724,197780,11100,11036,524364,565995,186539,11790,11039,11047,11620,1133363,11059,38171,329389,103903,11662,604436,504904,476294,1286616,10915,915014,12060,12078,12232,11688,94966,1006061,266827,400828,161600,284190,100835,292590,614035,510222,11215,642261,641809,464622,380342,529058,63421,35331,382825,356418,260806,425551,632134,322053,270478,29271,11976,1401444,506350,55097,1310532,453057,292349,28875,1476909,328671,328670,1016853,1016852,36421,1053141,53182,64293,11636,370810,33745,1406148,11083,647923,1570291,644289,279329,556277,42769,11963,11642,221703,2170197,2170200,2170206,2170201,338478,10410,73482,10430,31708,1972699,269638,1330520,479022,683780,2115988,1763596,707882,280855,59300,341946,229992"
"Pararnavirae";"kingdom";"2732397";410;188;598;"11780,11908,2169971,10408,10407,35269,11676,11864,11701,489469,61673,11661,11660,11901,11674,11926,11909,11927,11665,11671,11795,45409,11764,11812,11696,33747,254355,11743,36374,11942,11824,12750,45617,64382,11706,194959,11691,11698,11678,12639,11709,362651,11790,11662,11688,1401444,1476909,328671,328670,1016853,1016852,53182,11636,11963,11642,221703,2170197,2170200,2170206,2170201,338478,10410,10430,341946"
"Artverviricota";"phylum";"2732409";410;188;598;"11780,11908,2169971,10408,10407,35269,11676,11864,11701,489469,61673,11661,11660,11901,11674,11926,11909,11927,11665,11671,11795,45409,11764,11812,11696,33747,254355,11743,36374,11942,11824,12750,45617,64382,11706,194959,11691,11698,11678,12639,11709,362651,11790,11662,11688,1401444,1476909,328671,328670,1016853,1016852,53182,11636,11963,11642,221703,2170197,2170200,2170206,2170201,338478,10410,10430,341946"
"Revtraviricetes";"class";"2732514";410;188;598;"11780,11908,2169971,10408,10407,35269,11676,11864,11701,489469,61673,11661,11660,11901,11674,11926,11909,11927,11665,11671,11795,45409,11764,11812,11696,33747,254355,11743,36374,11942,11824,12750,45617,64382,11706,194959,11691,11698,11678,12639,11709,362651,11790,11662,11688,1401444,1476909,328671,328670,1016853,1016852,53182,11636,11963,11642,221703,2170197,2170200,2170206,2170201,338478,10410,10430,341946"
"Ortervirales";"order";"2169561";268;140;408;"11780,11908,2169971,11676,11864,11701,61673,11661,11660,11901,11674,11926,11909,11927,11665,11671,11795,45409,11764,11812,11696,33747,254355,11743,36374,11942,11824,12750,45617,64382,11706,194959,11691,11698,11678,11709,362651,11790,11662,11688,1401444,1476909,328671,328670,1016853,1016852,53182,11636,11963,11642,221703,2170197,2170200,2170206,2170201,338478"
"Retroviridae";"family";"11632";259;126;385;"11780,11908,2169971,11676,11864,11701,61673,11661,11660,11901,11674,11926,11909,11927,11665,11671,11795,45409,11764,11812,11696,33747,254355,11743,36374,11942,11824,12750,45617,64382,11706,194959,11691,11698,11678,11709,362651,11790,11662,11688,1401444,53182,11636,11963,11642,221703,2170197,2170200,2170206,2170201,338478"
"Orthoretrovirinae";"subfamily";"327045";234;116;350;"11780,11908,2169971,11676,11864,11701,61673,11661,11660,11901,11674,11926,11909,11927,11665,11671,11795,45409,11764,11812,11696,33747,254355,11743,36374,11942,11824,12750,11706,194959,11691,11698,11678,11709,362651,11790,11662,11688,1401444,11636"
"Lentivirus";"genus";"11646";99;12;111;"2169971,11676,11701,11661,11660,11674,11665,11671,45409,11696,254355,11743,36374,12750,11706,11691,11698,11678,11709,362651,11662,11688"
