taxid,input_term,domain,kingdom,phylum,class,order,family,genus,species
89586,Candidatus_Neoehrlichia_mikurensis,d__Bacteria,k__Bacteria,p__Proteobacteria,c__Alphaproteobacteria,o__Rickettsiales,f__Anaplasmataceae,g__Candidatus_Neoehrlichia,s__Candidatus_Neoehrlichia_mikurensis
480,Moraxella_catarrhalis,d__Bacteria,k__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Moraxellales,f__Moraxellaceae,g__Moraxella,s__Moraxella_catarrhalis
85698,Achromobacter_xylosoxidans,d__Bacteria,k__Bacteria,p__Proteobacteria,c__Betaproteobacteria,o__Burkholderiales,f__Alcaligenaceae,g__Achromobacter,s__Achromobacter_xylosoxidans
1117322,Glaesserella_parasuis_str_Nagasaki,d__Bacteria,k__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Pasteurellales,f__Pasteurellaceae,g__Glaesserella,s__Glaesserella_parasuis
491,Neisseria_meningitidis_serogroup_B,d__Bacteria,k__Bacteria,p__Proteobacteria,c__Betaproteobacteria,o__Neisseriales,f__Neisseriaceae,g__Neisseria,s__Neisseria_meningitidis
208964,Pseudomonas_aeruginosa_PAO1,d__Bacteria,k__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Pseudomonadales,f__Pseudomonadaceae,g__Pseudomonas,s__Pseudomonas_aeruginosa
205920,Ehrlichia_chaffeensis_str_Arkansas,d__Bacteria,k__Bacteria,p__Proteobacteria,c__Alphaproteobacteria,o__Rickettsiales,f__Anaplasmataceae,g__Ehrlichia,s__Ehrlichia_chaffeensis
29459,Brucella_melitensis,d__Bacteria,k__Bacteria,p__Proteobacteria,c__Alphaproteobacteria,o__Hyphomicrobiales,f__Brucellaceae,g__Brucella,s__Brucella_melitensis
90371,Salmonella_enterica_subsp_enterica_serovar_Typhimurium,d__Bacteria,k__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Enterobacterales,f__Enterobacteriaceae,g__Salmonella,s__Salmonella_enterica
624,Shigella_sonnei,d__Bacteria,k__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Enterobacterales,f__Enterobacteriaceae,g__Shigella,s__Shigella_sonnei
766147,Shigella_flexneri_K_227,d__Bacteria,k__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Enterobacterales,f__Enterobacteriaceae,g__Shigella,s__Shigella_flexneri
