"ScientificName","Rank","UID","nTot","IDs"
"Pseudomonadota","Level: phylum","NCBI:txid1224","276- / 551+","208964,224914,623,632,90370,562,784,573,243277,666,287,670,470,727,520,192222,485,374932,83333,487,491,480,212042,672,177416,376619,272560,777,630,766147,738,948,624,770,32019,357244,197,320483,584,235279,585034,90371,155864,303,857571,645,85962,210,298,556,529507,945,944,205920,543,199310,214092,316401,269484,400667,28450,554,424717,102617,216597,571800,85698,72556,81475,122355,203192,316,1214225,1022,747,272620,955,89586,644,992121,1352357,1337393,1172206,674,1117322,29459,95486,392021,611,947,375177,267212,413502,28172,439184,866344"
"P. aeruginosa","Level: species","NCBI:txid287","12- / 12+","208964,287"
