"ScientificName","Rank","UID","nTot","IDs"
"Bamfordvirae","Level: kingdom","NCBI:txid2732005","39- / 134+","10243,874269,10514,10497,10515,28285,190063,10533,573199,10254,31545,45659,343462,28282,28284,10249,10524,10530,46941,10498,10519,108098,10245,10244,714978,10521,343463,28280,130663"
"Orthopoxvirus","Level: species","NCBI:txid10242","14- / 20+","10243,10254,10249,10245,10244"
