taxid,input_term,domain,kingdom,phylum,class,order,family,genus,species
11288,Viral_hemorrhagic_septicemia_virus_07_71,d__Viruses,k__Orthornavirae,p__Negarnaviricota,c__Monjiviricetes,o__Mononegavirales,f__Rhabdoviridae,g__Novirhabdovirus,s__Piscine_novirhabdovirus
72539,Physalis_mottle_virus,d__Viruses,k__Orthornavirae,p__Kitrinoviricota,c__Alsuviricetes,o__Tymovirales,f__Tymoviridae,g__Tymovirus,s__Physalis_mottle_virus
31768,Hepatitis_E_virus_strain_Mexico,d__Viruses,k__Orthornavirae,p__Kitrinoviricota,c__Alsuviricetes,o__Hepelivirales,f__Hepeviridae,g__Orthohepevirus,s__Orthohepevirus_A
266827,Influenza_A_virus_A_Thailand_1_KAN_1_2004_H5N1,d__Viruses,k__Orthornavirae,p__Negarnaviricota,c__Insthoviricetes,o__Articulavirales,f__Orthomyxoviridae,g__Alphainfluenzavirus,s__Influenza_A_virus
12118,Foot_and_mouth_disease_virus_type_O,d__Viruses,k__Orthornavirae,p__Pisuviricota,c__Pisoniviricetes,o__Picornavirales,f__Picornaviridae,g__Aphthovirus,s__Foot_and_mouth_disease_virus
381512,Influenza_A_virus_A_New_Caledonia_20_1999_H1N1,d__Viruses,k__Orthornavirae,p__Negarnaviricota,c__Insthoviricetes,o__Articulavirales,f__Orthomyxoviridae,g__Alphainfluenzavirus,s__Influenza_A_virus
648856,Influenza_A_virus_A_Beijing_501_2009_H1N1,d__Viruses,k__Orthornavirae,p__Negarnaviricota,c__Insthoviricetes,o__Articulavirales,f__Orthomyxoviridae,g__Alphainfluenzavirus,s__Influenza_A_virus
12232,Zucchini_yellow_mosaic_virus,d__Viruses,k__Orthornavirae,p__Pisuviricota,c__Stelpaviricetes,o__Patatavirales,f__Potyviridae,g__Potyvirus,s__Zucchini_yellow_mosaic_virus
11151,Porcine_transmissible_gastroenteritis_coronavirus_strain_Purdue,d__Viruses,k__Orthornavirae,p__Pisuviricota,c__Pisoniviricetes,o__Nidovirales,f__Coronaviridae,g__Alphacoronavirus,s__Alphacoronavirus_1
63421,Swine_hepatitis_E_virus,d__Viruses,k__Orthornavirae,p__Kitrinoviricota,c__Alsuviricetes,o__Hepelivirales,f__Hepeviridae,g__Orthohepevirus,s__Orthohepevirus_A
12086,Human_poliovirus_3,d__Viruses,k__Orthornavirae,p__Pisuviricota,c__Pisoniviricetes,o__Picornavirales,f__Picornaviridae,g__Enterovirus,s__Enterovirus_C
64320,Zika_virus,d__Viruses,k__Orthornavirae,p__Kitrinoviricota,c__Flasuviricetes,o__Amarillovirales,f__Flaviviridae,g__Flavivirus,s__Zika_virus
2560580,Mammalian_orthorubulavirus_5,d__Viruses,k__Orthornavirae,p__Negarnaviricota,c__Monjiviricetes,o__Mononegavirales,f__Paramyxoviridae,g__Orthorubulavirus,s__Mammalian_orthorubulavirus_5
31635,Dengue_virus_2_16681_PDK53,d__Viruses,k__Orthornavirae,p__Kitrinoviricota,c__Flasuviricetes,o__Amarillovirales,f__Flaviviridae,g__Flavivirus,s__Dengue_virus
260806,Influenza_A_virus_A_FPV_Dutch_1927_H7N7,d__Viruses,k__Orthornavirae,p__Negarnaviricota,c__Insthoviricetes,o__Articulavirales,f__Orthomyxoviridae,g__Alphainfluenzavirus,s__Influenza_A_virus
370810,Influenza_A_virus_A_Anhui_1_2005_H5N1,d__Viruses,k__Orthornavirae,p__Negarnaviricota,c__Insthoviricetes,o__Articulavirales,f__Orthomyxoviridae,g__Alphainfluenzavirus,s__Influenza_A_virus
195700,Avian_rotavirus_PO_13,d__Viruses,k__Orthornavirae,p__Duplornaviricota,c__Resentoviricetes,o__Reovirales,f__Reoviridae,g__Rotavirus,s__Rotavirus_A
1173018,Phlebovirus_WCH_97_HN_China_2011,d__Viruses,k__Orthornavirae,p__Negarnaviricota,c__Ellioviricetes,o__Bunyavirales,f__Phenuiviridae,g__Phlebovirus,s__Phlebovirus_WCH_97_HN_China_2011
11277,Vesicular_stomatitis_Indiana_virus,d__Viruses,k__Orthornavirae,p__Negarnaviricota,c__Monjiviricetes,o__Mononegavirales,f__Rhabdoviridae,g__Vesiculovirus,s__Indiana_vesiculovirus
150127,Influenza_B_virus_B_Osaka_983_97_V3,d__Viruses,k__Orthornavirae,p__Negarnaviricota,c__Insthoviricetes,o__Articulavirales,f__Orthomyxoviridae,g__Betainfluenzavirus,s__Influenza_B_virus
12088,Poliovirus_type_3_strains_P3_LEON_37_AND_P3_LEON_12A_1_B,d__Viruses,k__Orthornavirae,p__Pisuviricota,c__Pisoniviricetes,o__Picornavirales,f__Picornaviridae,g__Enterovirus,s__Enterovirus_C
1586324,Porcine_deltacoronavirus,d__Viruses,k__Orthornavirae,p__Pisuviricota,c__Pisoniviricetes,o__Nidovirales,f__Coronaviridae,g__Deltacoronavirus,s__Coronavirus_HKU15
277944,Human_coronavirus_NL63,d__Viruses,k__Orthornavirae,p__Pisuviricota,c__Pisoniviricetes,o__Nidovirales,f__Coronaviridae,g__Alphacoronavirus,s__Human_coronavirus_NL63
269638,Bovine_enterovirus_type_2,d__Viruses,k__Orthornavirae,p__Pisuviricota,c__Pisoniviricetes,o__Picornavirales,f__Picornaviridae,g__Enterovirus,s__Enterovirus_F
