"ScientificName","Rank","UID","nTot","IDs"
"Orthornavirae","Level: kingdom","NCBI:txid2732396","8356- / 4145+","11320,383586,387147,387139,382832,392809,382835,383571,150127,384505,63106,444318,11142,211044,132504,11292,11072,12098,12107,11588,11295,11060,11038,11037,11079,301478,11033,12082,11602,387161,12092,2560602,11276,11235,11981,11098,11084,11070,11103,12064,421877,31647,31649,31650,40271,356426,12118,138950,138951,42789,11053,229032,64320,2697049,185894,11269,1321999,12663,11135,12637,227984,390157,195055,39054,277944,12073,63746,2560319,1241973,489821,11137,31631,443240,1335626,290028,11096,2709072,2708335,1173018,1331831,1968303,1968304,2026007,1914447,59301,31634,35327,694007,1399582,11099,54315,1586324,1508227,11128,11149,150846,11049,11048,12455,11259,11246,11250,367120,130763,427773,11232,11234,11243,12125,1235996,443241,443239,11260,11041,358769,12110,46290,11045,12112,627442,1263720,12120,28344,82824,11251,12067,10904,33717,11120,11256,11255,208893,11253,11252,410078,228407,694008,1933298,11590,11069,408870,31635,82639,12086,11196,408871,11089,1349999,502101,454951,12111,2032731,1980519,392172,650130,654811,641501,1577715,1803956,128952,122929,11624,39002,1980494,83192,1980485,46920,37207,42097,1980459,1980486,121791,11241,33727,195700,11553,208726,42782,11082,381513,1144025,41857,2847144,11064,33741,103929,11622,11623,10962,11296,10927,228330,63330,381516,88104,130760,333284,37137,10995,110195,11191,10941,94432,35288,12161,117204,12131,12081,40051,12242,12071,12072,2169986,12080,132487,11151,12116,12246,94967,12130,36409,11983,150080,12305,10923,12216,12115,11144,12146,12088,11277,72539,12117,12063,11217,292633,28295,37128,35329,31721,11062,11150,10900,10903,1933300,12260,82823,10879,11034,35330,31715,54290,55951,1980456,1980491,356411,12211,1678143,65743,28375,358805,11104,31645,356410,420174,31767,11116,284218,644788,165512,381512,417758,447133,461772,12077,12075,11577,103905,11288,186540,2169991,12162,392811,41856,2560580,164326,303316,382781,223997,11105,11113,11115,31768,31644,356415,11110,648856,408686,11065,186538,11138,336092,577543,378830,307044,11080,11077,680692,155220,680690,183741,404573,89172,89169,196462,172149,332747,284202,506282,292039,292045,12132,31704,37124,1980481,1239567,11066,59375,421901,11021,183764,468968,754366,155218,432070,472511,427890,418868,357210,370811,414044,562988,562992,464314,421472,411157,641812,402938,352764,162326,385585,384510,380284,352564,359921,449656,371214,352034,645724,197780,11100,11036,524364,565995,186539,11039,11047,11620,1133363,11059,38171,329389,103903,604436,504904,476294,1286616,10915,915014,12060,12078,12232,94966,1006061,266827,400828,161600,284190,100835,292590,614035,510222,11215,642261,641809,464622,380342,529058,63421,35331,382825,356418,260806,425551,632134,322053,270478,29271,11976,506350,55097,1310532,453057,292349,28875,36421,1053141,64293,370810,33745,1406148,11083,647923,1570291,644289,279329,556277,42769,73482,31708,1972699,269638,1330520,479022,683780,2115988,1763596,707882,280855,59300,229992"
"SARS-CoV-2","Level: species","NCBI:txid694009","726- / 244+","2697049,227984,2709072,694009,1508227,627442,228407,228330,229992"
