"ScientificName","Rank","UID","nTot","IDs"
"Chlamydia","Level: genus","NCBI:txid810","299- / 293+","813,83554,580047,672161,315277,272561,115713,182082,83558,1427371,85991,218497,83555,83557,83556,1457153,83560,83559,634464,199738,331635,1457141,1405296,115711,1050221,759363,1112244,1112269,264202,1112254,243161,227941"
"C. trachomatis","Level: species","NCBI:txid813","79- / 144+","813,580047,672161,315277,272561,634464,759363"
