"ScientificName","Rank","UID","nTot","IDs"
"Protostomia","Level: clade","NCBI:txid33317","837- / 722+","7227,6661,7460,36936,6956,7155,6954,6182,40697,63673,7441,6282,6279,6248,6978,7154,6183,7453,7444,34610,34631,60189,44386,6941,129788,6334,6211,6198,85552,106276,51031,51022,6269,36087,29170,123734,6192,6210,6206,6203,46835,6207,6204,558553,29159,7004,6239,79327,6238,6313,74437,6887,6878,360549,70175,6491,6492,6493,6495,6858,6184,7137,6690,6973,7454,30215,6860,58218,334426,6293,6945,7160,6687,34632,6339,6689,58217,58216,37546,180454,46245,7234,6938,265619,6853,95602,6728,121224,32278,79923,6761"
"O. volvulus","Level: species","NCBI:txid6282","246- / 133+","6282"
