taxid,input_term,domain,kingdom,phylum,class,order,family,genus,species
85552,Scylla_paramamosain,d__Eukaryota,k__Metazoa,p__Arthropoda,c__Malacostraca,o__Decapoda,f__Portunidae,g__Scylla,s__Scylla_paramamosain
6954,Dermatophagoides_farinae,d__Eukaryota,k__Metazoa,p__Arthropoda,c__Arachnida,o__Sarcoptiformes,f__Pyroglyphidae,g__Dermatophagoides,s__Dermatophagoides_farinae
6887,Tityus_serrulatus,d__Eukaryota,k__Metazoa,p__Arthropoda,c__Arachnida,o__Scorpiones,f__Buthidae,g__Tityus,s__Tityus_serrulatus
63673,Turbo_cornutus,d__Eukaryota,k__Metazoa,p__Mollusca,c__Gastropoda,o__Trochida,f__Turbinidae,g__Turbo,s__Turbo_cornutus
106276,Mimachlamys_nobilis,d__Eukaryota,k__Metazoa,p__Mollusca,c__Bivalvia,o__Pectinida,f__Pectinidae,g__Mimachlamys,s__Mimachlamys_nobilis
34610,Amblyomma_variegatum,d__Eukaryota,k__Metazoa,p__Arthropoda,c__Arachnida,o__Ixodida,f__Ixodidae,g__Amblyomma,s__Amblyomma_variegatum
51031,Necator_americanus,d__Eukaryota,k__Metazoa,p__Nematoda,c__Chromadorea,o__Strongylida,f__Ancylostomatidae,g__Necator,s__Necator_americanus
74437,Alectryonella_plicatula,d__Eukaryota,k__Metazoa,p__Mollusca,c__Bivalvia,o__Ostreida,f__Ostreidae,g__Alectryonella,s__Alectryonella_plicatula
6203,Taenia_ovis,d__Eukaryota,k__Metazoa,p__Platyhelminthes,c__Cestoda,o__Cyclophyllidea,f__Taeniidae,g__Taenia,s__Taenia_ovis
6495,Conus_tulipa,d__Eukaryota,k__Metazoa,p__Mollusca,c__Gastropoda,o__Neogastropoda,f__Conidae,g__Conus,s__Conus_tulipa
6238,Caenorhabditis_briggsae,d__Eukaryota,k__Metazoa,p__Nematoda,c__Chromadorea,o__Rhabditida,f__Rhabditidae,g__Caenorhabditis,s__Caenorhabditis_briggsae
7454,Vespula_vulgaris,d__Eukaryota,k__Metazoa,p__Arthropoda,c__Insecta,o__Hymenoptera,f__Vespidae,g__Vespula,s__Vespula_vulgaris
6184,Schistosoma_bovis,d__Eukaryota,k__Metazoa,p__Platyhelminthes,c__Trematoda,o__Strigeidida,f__Schistosomatidae,g__Schistosoma,s__Schistosoma_bovis
37546,Glossina_morsitans_morsitans,d__Eukaryota,k__Metazoa,p__Arthropoda,c__Insecta,o__Diptera,f__Glossinidae,g__Glossina,s__Glossina_morsitans
46835,Fasciola_gigantica,d__Eukaryota,k__Metazoa,p__Platyhelminthes,c__Trematoda,o__Plagiorchiida,f__Fasciolidae,g__Fasciola,s__Fasciola_gigantica
79327,Schmidtea_mediterranea,d__Eukaryota,k__Metazoa,p__Platyhelminthes,c__Rhabditophora,o__Tricladida,f__Dugesiidae,g__Schmidtea,s__Schmidtea_mediterranea
46245,Drosophila_pseudoobscura_pseudoobscura,d__Eukaryota,k__Metazoa,p__Arthropoda,c__Insecta,o__Diptera,f__Drosophilidae,g__Drosophila,s__Drosophila_pseudoobscura
6945,Ixodes_scapularis,d__Eukaryota,k__Metazoa,p__Arthropoda,c__Arachnida,o__Ixodida,f__Ixodidae,g__Ixodes,s__Ixodes_scapularis
6761,Scylla_serrata,d__Eukaryota,k__Metazoa,p__Arthropoda,c__Malacostraca,o__Decapoda,f__Portunidae,g__Scylla,s__Scylla_serrata
51022,Ancylostoma_duodenale,d__Eukaryota,k__Metazoa,p__Nematoda,c__Chromadorea,o__Strongylida,f__Ancylostomatidae,g__Ancylostoma,s__Ancylostoma_duodenale
6728,Procambarus_clarkii,d__Eukaryota,k__Metazoa,p__Arthropoda,c__Malacostraca,o__Decapoda,f__Cambaridae,g__Procambarus,s__Procambarus_clarkii
6956,Dermatophagoides_pteronyssinus,d__Eukaryota,k__Metazoa,p__Arthropoda,c__Arachnida,o__Sarcoptiformes,f__Pyroglyphidae,g__Dermatophagoides,s__Dermatophagoides_pteronyssinus
7160,Aedes_albopictus,d__Eukaryota,k__Metazoa,p__Arthropoda,c__Insecta,o__Diptera,f__Culicidae,g__Aedes,s__Aedes_albopictus
6339,Heligmosomoides_polygyrus,d__Eukaryota,k__Metazoa,p__Nematoda,c__Chromadorea,o__Strongylida,f__Heligmosomatidae,g__Heligmosomoides,s__Heligmosomoides_polygyrus
6689,Penaeus_vannamei,d__Eukaryota,k__Metazoa,p__Arthropoda,c__Malacostraca,o__Decapoda,f__Penaeidae,g__Penaeus,s__Penaeus_vannamei
7155,Chironomus_thummi_thummi,d__Eukaryota,k__Metazoa,p__Arthropoda,c__Insecta,o__Diptera,f__Chironomidae,g__Chironomus,s__Chironomus_thummi
6293,Wuchereria_bancrofti,d__Eukaryota,k__Metazoa,p__Nematoda,c__Chromadorea,o__Rhabditida,f__Onchocercidae,g__Wuchereria,s__Wuchereria_bancrofti
