"ScientificName","Rank","UID","nTot","IDs"
"Terrabacteria group","Level: clade","NCBI:txid1783272","977- / 888+","1491,169963,1280,1773,1765,1764,1502,301449,1314,1309,1422,410289,83332,119602,93061,1392,1496,1311,1307,1639,1717,645463,548473,43767,272634,1317,1310,1349,1303,1661,1513,243273,722438,1719,1428,1193576,469009,487521,561275,548470,262316,1770,652616,1768,160490,1320,29339,1313,1006581,347257,1254,1396,282458,269800,28227,441771,208435,29320,1778,1585,1336,295358,262722,754503,553583,1390,2116544,342614,93062,57372,410072,29355,1268303,280240,1270,1045775,1334,426430,1299,1458279,1292,1091045,107819,451516,159449,171101,1769,1391998,1613,67351,2100,33959,1783,28903"
"M. tuberculosis","Level: species","NCBI:txid1773","267- / 322+","1773,1765,410289,83332,561275,652616"
