taxid,input_term,domain,kingdom,phylum,class,order,family,genus,species
1765,Mycobacterium_tuberculosis_variant_bovis,d__Bacteria,k__Bacteria,p__Actinobacteria,c__Actinomycetia,o__Corynebacteriales,f__Mycobacteriaceae,g__Mycobacterium,s__Mycobacterium_tuberculosis
1396,Bacillus_cereus,d__Bacteria,k__Bacteria,p__Firmicutes,c__Bacilli,o__Bacillales,f__Bacillaceae,g__Bacillus,s__Bacillus_cereus
1719,Corynebacterium_pseudotuberculosis,d__Bacteria,k__Bacteria,p__Actinobacteria,c__Actinomycetia,o__Corynebacteriales,f__Corynebacteriaceae,g__Corynebacterium,s__Corynebacterium_pseudotuberculosis
1280,Staphylococcus_aureus,d__Bacteria,k__Bacteria,p__Firmicutes,c__Bacilli,o__Bacillales,f__Staphylococcaceae,g__Staphylococcus,s__Staphylococcus_aureus
548473,Staphylococcus_aureus_subsp_aureus_TCH60,d__Bacteria,k__Bacteria,p__Firmicutes,c__Bacilli,o__Bacillales,f__Staphylococcaceae,g__Staphylococcus,s__Staphylococcus_aureus
83332,Mycobacterium_tuberculosis_H37Rv,d__Bacteria,k__Bacteria,p__Actinobacteria,c__Actinomycetia,o__Corynebacteriales,f__Mycobacteriaceae,g__Mycobacterium,s__Mycobacterium_tuberculosis
160490,Streptococcus_pyogenes_M1_GAS,d__Bacteria,k__Bacteria,p__Firmicutes,c__Bacilli,o__Lactobacillales,f__Streptococcaceae,g__Streptococcus,s__Streptococcus_pyogenes
2116544,Synechococcus_lacustris,d__Bacteria,k__Bacteria,p__Cyanobacteria,c__Synechococcales__O+,o__Synechococcales,f__Synechococcaceae,g__Synechococcus,s__Synechococcus_lacustris
1349,Streptococcus_uberis,d__Bacteria,k__Bacteria,p__Firmicutes,c__Bacilli,o__Lactobacillales,f__Streptococcaceae,g__Streptococcus,s__Streptococcus_uberis
1613,Limosilactobacillus_fermentum,d__Bacteria,k__Bacteria,p__Firmicutes,c__Bacilli,o__Lactobacillales,f__Lactobacillaceae,g__Limosilactobacillus,s__Limosilactobacillus_fermentum
1045775,Paenibacillus_catalpae,d__Bacteria,k__Bacteria,p__Firmicutes,c__Bacilli,o__Bacillales,f__Paenibacillaceae,g__Paenibacillus,s__Paenibacillus_catalpae
1639,Listeria_monocytogenes,d__Bacteria,k__Bacteria,p__Firmicutes,c__Bacilli,o__Bacillales,f__Listeriaceae,g__Listeria,s__Listeria_monocytogenes
347257,Mycoplasmopsis_agalactiae_PG2,d__Bacteria,k__Bacteria,p__Tenericutes,c__Mollicutes,o__Mycoplasmatales,f__Mycoplasmataceae,g__Mycoplasmopsis,s__Mycoplasmopsis_agalactiae
119602,Streptococcus_dysgalactiae_subsp_equisimilis,d__Bacteria,k__Bacteria,p__Firmicutes,c__Bacilli,o__Lactobacillales,f__Streptococcaceae,g__Streptococcus,s__Streptococcus_dysgalactiae
280240,Nocardiopsis_baichengensis,d__Bacteria,k__Bacteria,p__Actinobacteria,c__Actinomycetia,o__Streptosporangiales,f__Nocardiopsaceae,g__Nocardiopsis,s__Nocardiopsis_baichengensis
1299,Deinococcus_radiodurans,d__Bacteria,k__Bacteria,p__Deinococcus_Thermus,c__Deinococci,o__Deinococcales,f__Deinococcaceae,g__Deinococcus,s__Deinococcus_radiodurans
301449,Streptococcus_pyogenes_serotype_M5,d__Bacteria,k__Bacteria,p__Firmicutes,c__Bacilli,o__Lactobacillales,f__Streptococcaceae,g__Streptococcus,s__Streptococcus_pyogenes
1422,Geobacillus_stearothermophilus,d__Bacteria,k__Bacteria,p__Firmicutes,c__Bacilli,o__Bacillales,f__Bacillaceae,g__Geobacillus,s__Geobacillus_stearothermophilus
1513,Clostridium_tetani,d__Bacteria,k__Bacteria,p__Firmicutes,c__Clostridia,o__Eubacteriales,f__Clostridiaceae,g__Clostridium,s__Clostridium_tetani
33959,Lactobacillus_johnsonii,d__Bacteria,k__Bacteria,p__Firmicutes,c__Bacilli,o__Lactobacillales,f__Lactobacillaceae,g__Lactobacillus,s__Lactobacillus_johnsonii
282458,Staphylococcus_aureus_subsp_aureus_MRSA252,d__Bacteria,k__Bacteria,p__Firmicutes,c__Bacilli,o__Bacillales,f__Staphylococcaceae,g__Staphylococcus,s__Staphylococcus_aureus
1307,Streptococcus_suis,d__Bacteria,k__Bacteria,p__Firmicutes,c__Bacilli,o__Lactobacillales,f__Streptococcaceae,g__Streptococcus,s__Streptococcus_suis
169963,Listeria_monocytogenes_EGD_e,d__Bacteria,k__Bacteria,p__Firmicutes,c__Bacilli,o__Bacillales,f__Listeriaceae,g__Listeria,s__Listeria_monocytogenes
1314,Streptococcus_pyogenes,d__Bacteria,k__Bacteria,p__Firmicutes,c__Bacilli,o__Lactobacillales,f__Streptococcaceae,g__Streptococcus,s__Streptococcus_pyogenes
2100,Mycoplasma_hyorhinis,d__Bacteria,k__Bacteria,p__Tenericutes,c__Mollicutes,o__Mycoplasmatales,f__Mycoplasmataceae,g__Mycoplasma,s__Mycoplasma_hyorhinis
295358,Mycoplasma_hyopneumoniae_232,d__Bacteria,k__Bacteria,p__Tenericutes,c__Mollicutes,o__Mycoplasmatales,f__Mycoplasmataceae,g__Mycoplasma,s__Mycoplasma_hyopneumoniae
652616,Mycobacterium_tuberculosis_str_Erdman_ATCC_35801,d__Bacteria,k__Bacteria,p__Actinobacteria,c__Actinomycetia,o__Corynebacteriales,f__Mycobacteriaceae,g__Mycobacterium,s__Mycobacterium_tuberculosis
1770,Mycobacterium_avium_subsp_paratuberculosis,d__Bacteria,k__Bacteria,p__Actinobacteria,c__Actinomycetia,o__Corynebacteriales,f__Mycobacteriaceae,g__Mycobacterium,s__Mycobacterium_avium
272634,Mycoplasma_pneumoniae_M129,d__Bacteria,k__Bacteria,p__Tenericutes,c__Mollicutes,o__Mycoplasmatales,f__Mycoplasmataceae,g__Mycoplasma,s__Mycoplasma_pneumoniae
