"ScientificName","Rank","UID","nTot","IDs"
"Duplodnaviria","Level: clade","NCBI:txid2731341","716- / 770+","10299,10298,10304,10306,10377,10360,10320,10376,10359,10310,10331,10326,10335,10366,82830,10323,10309,10345,10372,10325,12509,71366,36351,10363,10665,37296,32604,10760,37107,32603,33706,79889,103920,69156,10313,10369"
"Human Gammaherpesvirus 4","Level: species","NCBI:txid10376","466- / 354+","10377,10376,82830,12509"
