"ScientificName","Rank","UID","nTot","IDs"
"Platyhelminthes","Level: phylum","NCBI:txid6157","390- / 305+","6182,6183,6211,6198,6192,6210,6206,6203,46835,6207,6204,79327,6184,79923"
"S. mansoni","Level: species","NCBI:txid6183","243- / 173+","6183"
